Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
lantern,in,10th Street and 23rd Avenue,10st23av_i,   , 
lantern,in,10th Street and 22nd Avenue,10st22av_i,   , 
lantern,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
lantern,in,10th Street and 20th Avenue,10st20av_i,   , 
lantern,in,10th Street and 17th Avenue,10st17av_i,   , 
lantern,in,14th Avenue and 10th Street.,14av10st_i,   , 
lantern,in,14th Avenue and 9th Street,14av9st_i,   , 
lantern,in,14th Avenue and 8th Street,14av8st_i, 06:10:00 ,SchedPoint
lantern,in,8th Street and 12th Avenue,8st12av_i,   , 
lantern,in,12th Avenue and 7th Street,12av7st_i,   , 
lantern,in,7th Street and 10th Avenue,7st10av_i,   , 
lantern,in,7th Street and 7th Avenue,7st7av_i,   , 
lantern,in,7th Street and 6th Avenue,7st6av_i,   , 
lantern,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
lantern,in,4th Ave. and 6th Street,4av6st_i,   , 
lantern,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 06:15:00 ,SchedPoint
lantern,in,6th Street and 1st Avenue,6st1av_i,   , 
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 06:21:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 06:27:00 ,SchedArrival
lantern,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 06:40:00 ,Timepoint
lantern,out,Hubbard Park,hubbard_o,   , 
lantern,out,Student Health,studhlth_o,   , 
lantern,out,Newton Road - Parking Ramp,newtramp_o,   , 
lantern,out,VA Hospital and University Hospitals,vahosp_o, 06:46:00 ,SchedPoint
lantern,out,Newton and Lincoln,newtlinc_o,   , 
lantern,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
lantern,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
lantern,out,Highway 6 and 1st Avenue - Hardees,hwy6hard_o, 06:51:00 ,SchedPoint
lantern,out,4th Avenue and Highway 6,4avhwy6_o,   , 
lantern,out,4th Avenue and 5th Street,4av5st_o,   , 
lantern,out,5th Street and 6th Avenue,5st6av_o,   , 
lantern,out,5th Street and 10th Avenue - Post Office,5st10av_o, 06:54:00 ,SchedPoint
lantern,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
lantern,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
lantern,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
lantern,out,20th Avenue and 5th Street,20av5st_o,   , 
lantern,out,8th Street and 20th Avenue,8st20av_o,   , 
lantern,out,20th Avenue and 9th Street,20av9st_o,   , 
lantern,out,9th Street and 20th Avenue Place,9st20av_o,   , 
lantern,out,9th Street and 21st Avenue,9st21av_o, 06:58:00 ,SchedPoint
lantern,out,22nd Avenue and 10th Street Place,22av10stpl_o,   , 
lantern,out,22nd Avenue and 10th Street,22av10st_o,   , 
lantern,out,10th Street and 23th Avenue,10st23av_o,   , 
lantern,out,10th Street and North Boston Way,10stnbstn_o,   , 
lantern,out,10th Street and 25th Avenue,10st25av_o,   , 
lantern,in,Coral Ridge Mall,crlrdmall_i, 07:04:00 ,SchedPoint
lantern,in,10th Street and South Boston Way,10stsbstn_i,   , 
lantern,in,10th Street and 23rd Avenue,10st23av_i,   , 
lantern,in,10th Street and 22nd Avenue,10st22av_i,   , 
lantern,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
lantern,in,10th Street and 20th Avenue,10st20av_i,   , 
lantern,in,10th Street and 17th Avenue,10st17av_i,   , 
lantern,in,14th Avenue and 10th Street.,14av10st_i,   , 
lantern,in,14th Avenue and 9th Street,14av9st_i,   , 
lantern,in,14th Avenue and 8th Street,14av8st_i, 07:10:00 ,SchedPoint
lantern,in,8th Street and 12th Avenue,8st12av_i,   , 
lantern,in,12th Avenue and 7th Street,12av7st_i,   , 
lantern,in,7th Street and 10th Avenue,7st10av_i,   , 
lantern,in,7th Street and 7th Avenue,7st7av_i,   , 
lantern,in,7th Street and 6th Avenue,7st6av_i,   , 
lantern,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
lantern,in,4th Ave. and 6th Street,4av6st_i,   , 
lantern,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 07:15:00 ,SchedPoint
lantern,in,6th Street and 1st Avenue,6st1av_i,   , 
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 07:21:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 07:27:00 ,SchedArrival
lantern,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 07:40:00 ,Timepoint
lantern,out,Hubbard Park,hubbard_o,   , 
lantern,out,Student Health,studhlth_o,   , 
lantern,out,Newton Road - Parking Ramp,newtramp_o,   , 
lantern,out,VA Hospital and University Hospitals,vahosp_o, 07:46:00 ,SchedPoint
lantern,out,Newton and Lincoln,newtlinc_o,   , 
lantern,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
lantern,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
lantern,out,Highway 6 and 1st Avenue - Hardees,hwy6hard_o, 07:51:00 ,SchedPoint
lantern,out,4th Avenue and Highway 6,4avhwy6_o,   , 
lantern,out,4th Avenue and 5th Street,4av5st_o,   , 
lantern,out,5th Street and 6th Avenue,5st6av_o,   , 
lantern,out,5th Street and 10th Avenue - Post Office,5st10av_o, 07:54:00 ,SchedPoint
lantern,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
lantern,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
lantern,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
lantern,out,20th Avenue and 5th Street,20av5st_o,   , 
lantern,out,8th Street and 20th Avenue,8st20av_o,   , 
lantern,out,20th Avenue and 9th Street,20av9st_o,   , 
lantern,out,9th Street and 20th Avenue Place,9st20av_o,   , 
lantern,out,9th Street and 21st Avenue,9st21av_o, 07:58:00 ,SchedPoint
lantern,out,22nd Avenue and 10th Street Place,22av10stpl_o,   , 
lantern,out,22nd Avenue and 10th Street,22av10st_o,   , 
lantern,out,10th Street and 23th Avenue,10st23av_o,   , 
lantern,out,10th Street and North Boston Way,10stnbstn_o,   , 
lantern,out,10th Street and 25th Avenue,10st25av_o,   , 
lantern,in,Coral Ridge Mall,crlrdmall_i, 08:04:00 ,SchedPoint
lantern,in,10th Street and South Boston Way,10stsbstn_i,   , 
lantern,in,10th Street and 23rd Avenue,10st23av_i,   , 
lantern,in,10th Street and 22nd Avenue,10st22av_i,   , 
lantern,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
lantern,in,10th Street and 20th Avenue,10st20av_i,   , 
lantern,in,10th Street and 17th Avenue,10st17av_i,   , 
lantern,in,14th Avenue and 10th Street.,14av10st_i,   , 
lantern,in,14th Avenue and 9th Street,14av9st_i,   , 
lantern,in,14th Avenue and 8th Street,14av8st_i, 08:10:00 ,SchedPoint
lantern,in,8th Street and 12th Avenue,8st12av_i,   , 
lantern,in,12th Avenue and 7th Street,12av7st_i,   , 
lantern,in,7th Street and 10th Avenue,7st10av_i,   , 
lantern,in,7th Street and 7th Avenue,7st7av_i,   , 
lantern,in,7th Street and 6th Avenue,7st6av_i,   , 
lantern,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
lantern,in,4th Ave. and 6th Street,4av6st_i,   , 
lantern,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 08:15:00 ,SchedPoint
lantern,in,6th Street and 1st Avenue,6st1av_i,   , 
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 08:21:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 08:27:00 ,SchedArrival
lantern,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 08:40:00 ,Timepoint
lantern,out,Hubbard Park,hubbard_o,   , 
lantern,out,Student Health,studhlth_o,   , 
lantern,out,Newton Road - Parking Ramp,newtramp_o,   , 
lantern,out,VA Hospital and University Hospitals,vahosp_o, 08:46:00 ,SchedPoint
lantern,out,Newton and Lincoln,newtlinc_o,   , 
lantern,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
lantern,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
lantern,out,Highway 6 and 1st Avenue - Hardees,hwy6hard_o, 08:51:00 ,SchedPoint
lantern,out,4th Avenue and Highway 6,4avhwy6_o,   , 
lantern,out,4th Avenue and 5th Street,4av5st_o,   , 
lantern,out,5th Street and 6th Avenue,5st6av_o,   , 
lantern,out,5th Street and 10th Avenue - Post Office,5st10av_o, 08:54:00 ,SchedPoint
lantern,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
lantern,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
lantern,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
lantern,out,20th Avenue and 5th Street,20av5st_o,   , 
lantern,out,8th Street and 20th Avenue,8st20av_o,   , 
lantern,out,20th Avenue and 9th Street,20av9st_o,   , 
lantern,out,9th Street and 20th Avenue Place,9st20av_o,   , 
lantern,out,9th Street and 21st Avenue,9st21av_o, 08:58:00 ,SchedPoint
lantern,out,22nd Avenue and 10th Street Place,22av10stpl_o,   , 
lantern,out,22nd Avenue and 10th Street,22av10st_o,   , 
lantern,out,10th Street and 23th Avenue,10st23av_o,   , 
lantern,out,10th Street and North Boston Way,10stnbstn_o,   , 
lantern,out,10th Street and 25th Avenue,10st25av_o,   , 
lantern,in,Coral Ridge Mall,crlrdmall_i, 09:04:00 ,SchedPoint
lantern,in,10th Street and South Boston Way,10stsbstn_i,   , 
lantern,in,10th Street and 23rd Avenue,10st23av_i,   , 
lantern,in,10th Street and 22nd Avenue,10st22av_i,   , 
lantern,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
lantern,in,10th Street and 20th Avenue,10st20av_i,   , 
lantern,in,10th Street and 17th Avenue,10st17av_i,   , 
lantern,in,14th Avenue and 10th Street.,14av10st_i,   , 
lantern,in,14th Avenue and 9th Street,14av9st_i,   , 
lantern,in,14th Avenue and 8th Street,14av8st_i, 09:10:00 ,SchedPoint
lantern,in,8th Street and 12th Avenue,8st12av_i,   , 
lantern,in,12th Avenue and 7th Street,12av7st_i,   , 
lantern,in,7th Street and 10th Avenue,7st10av_i,   , 
lantern,in,7th Street and 7th Avenue,7st7av_i,   , 
lantern,in,7th Street and 6th Avenue,7st6av_i,   , 
lantern,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
lantern,in,4th Ave. and 6th Street,4av6st_i,   , 
lantern,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 09:15:00 ,SchedPoint
lantern,in,6th Street and 1st Avenue,6st1av_i,   , 
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 09:21:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 09:27:00 ,SchedArrival
10thst,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 06:30:00 ,BreakPoint
10thst,out,Hubbard Park,hubbard_o,   , 
10thst,out,Student Health,studhlth_o,   , 
10thst,out,Newton Road - Parking Ramp,newtramp_o,   , 
10thst,out,VA Hospital and University Hospitals,vahosp_o, 06:36:00 ,SchedPoint
10thst,out,Newton and Lincoln,newtlinc_o,   , 
10thst,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
10thst,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
10thst,out,Clear Creek,clrcreek_o,   , 
10thst,out,1st Avenue and 5th Street,1av5st_o,   , 
10thst,out,6th Street and 1st Avenue - Scotch Pine,6st1av_o, 06:43:00 ,SchedPoint
10thst,out,6th Street and 4th Ave,6st4av_o,   , 
10thst,out,7th Street and 4th Avenue Place,7st4av_o,   , 
10thst,out,7th Street and 6th Avenue,7st6av_o,   , 
10thst,out,7th Street and 7th Avenue,7st7av_o,   , 
10thst,out,7th Street and 10th Avenue,7st10av_o,   , 
10thst,out,7th Street and 12th Avenue,7st12av_o,   , 
10thst,out,14th Avenue and 8th Street,14av8st_o, 06:47:00 ,SchedPoint
10thst,out,14th Avenue and 9th Street,14av9st_o,   , 
10thst,out,14th Avenue and 10th Street,14av10st_o,   , 
10thst,out,10th Street and 17th Avenue,10st17av_o,   , 
10thst,out,10th Street and 20th Avenue,10st20av_o,   , 
10thst,out,10 th Street and 10th Street Ct.,10st10stct_o,   , 
10thst,out,10th Street and 22nd Avenue,10st22av_o,   , 
10thst,out,10th Street and 23th Avenue,10st23av_o, 06:51:00 ,SchedPoint
10thst,out,10th Street and North Boston Way,10stnbstn_o,   , 
10thst,out,10th Street and 25th Avenue,10st25av_o,   , 
10thst,in,Coral Ridge Mall,crlrdmall_i, 06:55:00 ,SchedPoint
10thst,in,10th Street and South Boston Way,10stsbstn_i,   , 
10thst,in,10th Street and 23rd Avenue,10st23av_i,   , 
10thst,in,23rd Avenue and 9th Street,23av9st_i,   , 
10thst,in,9th Street and Oakleaf Street,9stoak_i,   , 
10thst,in,9th Street and 21st Avenue,9st21av_i, 06:59:00 ,SchedPoint
10thst,in,9th Street and 20th Avenue Place,9st20avpl_i,   , 
10thst,in,9th Street and 20th Avenue,9st20av_i,   , 
10thst,in,20th Avenue and 8th Street,20av8st_i,   , 
10thst,in,20th Avenue and 5th Street,20av5st_i,   , 
10thst,in,5th Street and 18th Avenue - Coral Village,5st18av_i,   , 
10thst,in,5th Street and 7th Street - City Hall,5st7st_i,   , 
10thst,in,5th Street and 12th Avenue - West Music,5st12av_i,   , 
10thst,in,5th Street and 10th Avenue - Post Office,5st10av_i, 07:04:00 ,SchedPoint
10thst,in,5th Street and 6th Avenue,6st6av_i,   , 
10thst,in,5th Street and 4th Avenue,5st4av_i,   , 
10thst,in,5th Street and 2nd Avenue Place,5st2avpl_i,   , 
10thst,in,1st Avenue and 5th Street,1av5st_i, 07:07:00 ,SchedPoint
10thst,in,Softball Complex,softball_i,   , 
10thst,in,Dental College,dentcol_i,   , 
10thst,in,Hardin Library,hardlib_i, 07:13:00 ,SchedPoint
10thst,in,MERF,merf_i,   , 
10thst,in,IIBD,iibd_i,   , 
10thst,in,EPB,epb_i,   , 
10thst,in,IMU,imu_i,   , 
10thst,in,Macbride Hall,machall_i,   , 
10thst,in,Clinton and Washington - Hidden Arrival,clintwash_a, 07:19:00 ,SchedArrival
10thst,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 07:30:00 ,Timepoint
10thst,out,Hubbard Park,hubbard_o,   , 
10thst,out,Student Health,studhlth_o,   , 
10thst,out,Newton Road - Parking Ramp,newtramp_o,   , 
10thst,out,VA Hospital and University Hospitals,vahosp_o, 07:36:00 ,SchedPoint
10thst,out,Newton and Lincoln,newtlinc_o,   , 
10thst,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
10thst,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
10thst,out,Clear Creek,clrcreek_o,   , 
10thst,out,1st Avenue and 5th Street,1av5st_o,   , 
10thst,out,6th Street and 1st Avenue - Scotch Pine,6st1av_o, 07:43:00 ,SchedPoint
10thst,out,6th Street and 4th Ave,6st4av_o,   , 
10thst,out,7th Street and 4th Avenue Place,7st4av_o,   , 
10thst,out,7th Street and 6th Avenue,7st6av_o,   , 
10thst,out,7th Street and 7th Avenue,7st7av_o,   , 
10thst,out,7th Street and 10th Avenue,7st10av_o,   , 
10thst,out,7th Street and 12th Avenue,7st12av_o,   , 
10thst,out,14th Avenue and 8th Street,14av8st_o, 07:47:00 ,SchedPoint
10thst,out,14th Avenue and 9th Street,14av9st_o,   , 
10thst,out,14th Avenue and 10th Street,14av10st_o,   , 
10thst,out,10th Street and 17th Avenue,10st17av_o,   , 
10thst,out,10th Street and 20th Avenue,10st20av_o,   , 
10thst,out,10 th Street and 10th Street Ct.,10st10stct_o,   , 
10thst,out,10th Street and 22nd Avenue,10st22av_o,   , 
10thst,out,10th Street and 23th Avenue,10st23av_o, 07:51:00 ,SchedPoint
10thst,out,10th Street and North Boston Way,10stnbstn_o,   , 
10thst,out,10th Street and 25th Avenue,10st25av_o,   , 
10thst,in,Coral Ridge Mall,crlrdmall_i, 07:55:00 ,SchedPoint
10thst,in,10th Street and South Boston Way,10stsbstn_i,   , 
10thst,in,10th Street and 23rd Avenue,10st23av_i,   , 
10thst,in,23rd Avenue and 9th Street,23av9st_i,   , 
10thst,in,9th Street and Oakleaf Street,9stoak_i,   , 
10thst,in,9th Street and 21st Avenue,9st21av_i, 07:59:00 ,SchedPoint
10thst,in,9th Street and 20th Avenue Place,9st20avpl_i,   , 
10thst,in,9th Street and 20th Avenue,9st20av_i,   , 
10thst,in,20th Avenue and 8th Street,20av8st_i,   , 
10thst,in,20th Avenue and 5th Street,20av5st_i,   , 
10thst,in,5th Street and 18th Avenue - Coral Village,5st18av_i,   , 
10thst,in,5th Street and 7th Street - City Hall,5st7st_i,   , 
10thst,in,5th Street and 12th Avenue - West Music,5st12av_i,   , 
10thst,in,5th Street and 10th Avenue - Post Office,5st10av_i, 08:04:00 ,SchedPoint
10thst,in,5th Street and 6th Avenue,6st6av_i,   , 
10thst,in,5th Street and 4th Avenue,5st4av_i,   , 
10thst,in,5th Street and 2nd Avenue Place,5st2avpl_i,   , 
10thst,in,1st Avenue and 5th Street,1av5st_i, 08:07:00 ,SchedPoint
10thst,in,Softball Complex,softball_i,   , 
10thst,in,Dental College,dentcol_i,   , 
10thst,in,Hardin Library,hardlib_i, 08:13:00 ,SchedPoint
10thst,in,MERF,merf_i,   , 
10thst,in,IIBD,iibd_i,   , 
10thst,in,EPB,epb_i,   , 
10thst,in,IMU,imu_i,   , 
10thst,in,Macbride Hall,machall_i,   , 
10thst,in,Clinton and Washington - Hidden Arrival,clintwash_a, 08:19:00 ,SchedArrival
10thst,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 08:30:00 ,Timepoint
10thst,out,Hubbard Park,hubbard_o,   , 
10thst,out,Student Health,studhlth_o,   , 
10thst,out,Newton Road - Parking Ramp,newtramp_o,   , 
10thst,out,VA Hospital and University Hospitals,vahosp_o, 08:36:00 ,SchedPoint
10thst,out,Newton and Lincoln,newtlinc_o,   , 
10thst,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
10thst,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
10thst,out,Clear Creek,clrcreek_o,   , 
10thst,out,1st Avenue and 5th Street,1av5st_o,   , 
10thst,out,6th Street and 1st Avenue - Scotch Pine,6st1av_o, 08:43:00 ,SchedPoint
10thst,out,6th Street and 4th Ave,6st4av_o,   , 
10thst,out,7th Street and 4th Avenue Place,7st4av_o,   , 
10thst,out,7th Street and 6th Avenue,7st6av_o,   , 
10thst,out,7th Street and 7th Avenue,7st7av_o,   , 
10thst,out,7th Street and 10th Avenue,7st10av_o,   , 
10thst,out,7th Street and 12th Avenue,7st12av_o,   , 
10thst,out,14th Avenue and 8th Street,14av8st_o, 08:47:00 ,SchedPoint
10thst,out,14th Avenue and 9th Street,14av9st_o,   , 
10thst,out,14th Avenue and 10th Street,14av10st_o,   , 
10thst,out,10th Street and 17th Avenue,10st17av_o,   , 
10thst,out,10th Street and 20th Avenue,10st20av_o,   , 
10thst,out,10 th Street and 10th Street Ct.,10st10stct_o,   , 
10thst,out,10th Street and 22nd Avenue,10st22av_o,   , 
10thst,out,10th Street and 23th Avenue,10st23av_o, 08:51:00 ,SchedPoint
10thst,out,10th Street and North Boston Way,10stnbstn_o,   , 
10thst,out,10th Street and 25th Avenue,10st25av_o,   , 
10thst,in,Coral Ridge Mall,crlrdmall_i, 08:55:00 ,SchedPoint
10thst,in,10th Street and South Boston Way,10stsbstn_i,   , 
10thst,in,10th Street and 23rd Avenue,10st23av_i,   , 
10thst,in,23rd Avenue and 9th Street,23av9st_i,   , 
10thst,in,9th Street and Oakleaf Street,9stoak_i,   , 
10thst,in,9th Street and 21st Avenue,9st21av_i, 08:59:00 ,SchedPoint
10thst,in,9th Street and 20th Avenue Place,9st20avpl_i,   , 
10thst,in,9th Street and 20th Avenue,9st20av_i,   , 
10thst,in,20th Avenue and 8th Street,20av8st_i,   , 
10thst,in,20th Avenue and 5th Street,20av5st_i,   , 
10thst,in,5th Street and 18th Avenue - Coral Village,5st18av_i,   , 
10thst,in,5th Street and 7th Street - City Hall,5st7st_i,   , 
10thst,in,5th Street and 12th Avenue - West Music,5st12av_i,   , 
10thst,in,5th Street and 10th Avenue - Post Office,5st10av_i, 09:04:00 ,SchedPoint
10thst,in,5th Street and 6th Avenue,6st6av_i,   , 
10thst,in,5th Street and 4th Avenue,5st4av_i,   , 
10thst,in,5th Street and 2nd Avenue Place,5st2avpl_i,   , 
10thst,in,1st Avenue and 5th Street,1av5st_i, 09:07:00 ,SchedPoint
10thst,in,Softball Complex,softball_i,   , 
10thst,in,Dental College,dentcol_i,   , 
10thst,in,Hardin Library,hardlib_i, 09:13:00 ,SchedPoint
10thst,in,MERF,merf_i,   , 
10thst,in,IIBD,iibd_i,   , 
10thst,in,EPB,epb_i,   , 
10thst,in,IMU,imu_i,   , 
10thst,in,Macbride Hall,machall_i,   , 
10thst,in,Clinton and Washington - Hidden Arrival,clintwash_a, 09:19:00 ,SchedArrival
10thst,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 15:30:00 ,BreakPoint
10thst,out,Hubbard Park,hubbard_o,   , 
10thst,out,Student Health,studhlth_o,   , 
10thst,out,Newton Road - Parking Ramp,newtramp_o,   , 
10thst,out,VA Hospital and University Hospitals,vahosp_o, 15:36:00 ,SchedPoint
10thst,out,Newton and Lincoln,newtlinc_o,   , 
10thst,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
10thst,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
10thst,out,Clear Creek,clrcreek_o,   , 
10thst,out,1st Avenue and 5th Street,1av5st_o,   , 
10thst,out,6th Street and 1st Avenue - Scotch Pine,6st1av_o, 15:43:00 ,SchedPoint
10thst,out,6th Street and 4th Ave,6st4av_o,   , 
